phase,cell,metric,old,amended,difference
mechanism_discovery,parallel_0.7,R_raw_alpha0.9,0.6499195580535213,0.6499195580535213,0.0
mechanism_discovery,parallel_0.7,directed_drift_alpha0.9,4.817309369191731,4.817309369191731,0.0
mechanism_discovery,parallel_0.7,centroid_drift_alpha0.9,4.8803708991326396,4.8803708991326396,0.0
mechanism_discovery,parallel_0.7,hausdorff_alpha0.9,6.793922072358022,6.793922072358022,0.0
mechanism_discovery,parallel_0.7,raw_ratio_alpha0.9,0.16567227857114347,0.16567227857114347,0.0
mechanism_discovery,parallel_0.7,Theta_alpha0.8,0.18167968683354674,0.18167968683354674,0.0
mechanism_discovery,parallel_0.7,R_raw_alpha0.8,1.049963214704453,1.049963214704453,0.0
mechanism_discovery,parallel_0.7,directed_drift_alpha0.8,3.7722968705524664,3.7722968705524664,0.0
mechanism_discovery,parallel_0.7,centroid_drift_alpha0.8,4.6027924408338174,4.6027924408338174,0.0
mechanism_discovery,parallel_0.7,hausdorff_alpha0.8,6.162277660168379,6.162277660168379,0.0
mechanism_discovery,parallel_0.7,raw_ratio_alpha0.8,0.23421776811914286,0.23421776811914286,0.0
mechanism_discovery,parallel_0.85,Theta_alpha0.9,0.12392894074217045,0.12392894074217045,0.0
mechanism_discovery,parallel_0.85,R_raw_alpha0.9,0.5921332552991008,0.5921332552991008,0.0
mechanism_discovery,parallel_0.85,directed_drift_alpha0.9,4.873692197561,4.873692197561,0.0
mechanism_discovery,parallel_0.85,centroid_drift_alpha0.9,5.5577955010083615,5.5577955010083615,0.0
mechanism_discovery,parallel_0.85,hausdorff_alpha0.9,7.193767306409247,7.193767306409247,0.0
mechanism_discovery,parallel_0.85,raw_ratio_alpha0.9,0.09980091891960771,0.09980091891960771,0.0
mechanism_discovery,parallel_0.85,Theta_alpha0.8,0.170126000399741,0.170126000399741,0.0
mechanism_discovery,parallel_0.85,R_raw_alpha0.8,0.8056055331106649,0.8056055331106649,0.0
mechanism_discovery,parallel_0.85,directed_drift_alpha0.8,3.7722968705524664,3.7722968705524664,0.0
mechanism_discovery,parallel_0.85,centroid_drift_alpha0.8,4.538353973859537,4.538353973859537,0.0
mechanism_discovery,parallel_0.85,hausdorff_alpha0.8,5.99070478491457,5.99070478491457,0.0
mechanism_discovery,parallel_0.85,raw_ratio_alpha0.8,0.19199221170406616,0.19199221170406616,0.0
mechanism_discovery,parallel_1.15,Theta_alpha0.9,0.10163720980421038,0.10163720980421038,0.0
mechanism_discovery,parallel_1.15,R_raw_alpha0.9,0.006449851534748641,0.006449851534748641,0.0
mechanism_discovery,parallel_1.15,directed_drift_alpha0.9,4.857878784233826,4.857878784233826,0.0
mechanism_discovery,parallel_1.15,centroid_drift_alpha0.9,5.024471012502462,5.024471012502462,0.0
mechanism_discovery,parallel_1.15,hausdorff_alpha0.9,6.327430956417352,6.327430956417352,0.0
mechanism_discovery,parallel_1.15,raw_ratio_alpha0.9,0.025369968545234663,0.025369968545234663,0.0
mechanism_discovery,parallel_1.15,Theta_alpha0.8,0.10970593085043052,0.10970593085043052,0.0
mechanism_discovery,parallel_1.15,R_raw_alpha0.8,-0.03521195629331597,-0.03521195629331597,0.0
mechanism_discovery,parallel_1.15,directed_drift_alpha0.8,3.7722968705524664,3.7722968705524664,0.0
mechanism_discovery,parallel_1.15,centroid_drift_alpha0.8,4.3604045163815845,4.3604045163815845,0.0
mechanism_discovery,parallel_1.15,hausdorff_alpha0.8,6.046768803601324,6.046768803601324,0.0
mechanism_discovery,parallel_1.15,raw_ratio_alpha0.8,-0.017651603422941184,-0.017651603422941184,0.0
mechanism_discovery,parallel_1.3,Theta_alpha0.9,0.09513866399258653,0.09513866399258653,0.0
mechanism_discovery,parallel_1.3,R_raw_alpha0.9,-0.34386657666002574,-0.34386657666002574,0.0
